"id"	"name"	"tc"	"exid"	"exname"	"fullname"
"gnl|TC-DB|M7PF02|4.A.2.1.19"	"PTS family enzyme IIB'BC, fructose-specific"	"4.A.2.1.19"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|M7PF02|4.A.2.1.19 PTS family enzyme IIB'BC, fructose-specific OS=Klebsiella pneumoniae ATCC BAA-2146 GN=G000_19880 PE=4 SV=1"
"gnl|TC-DB|O07032|2.A.24.2.2"	"CITRATE-SODIUM SYMPORT (CITRATE TRANSPORTER) (CITRATE CARRIER PROTEIN) (MLEP PROTEIN) - Lactococcus lactis (subsp. lactis) (Streptococcus lactis)."	"2.A.24.2.2"	"EX_cit(e)"	"citrate"	"gnl|TC-DB|O07032|2.A.24.2.2 CITRATE-SODIUM SYMPORT (CITRATE TRANSPORTER) (CITRATE CARRIER PROTEIN) (MLEP PROTEIN) - Lactococcus lactis (subsp. lactis) (Streptococcus lactis)."
"gnl|TC-DB|O07881|2.A.7.5.1"	"GLUCOSE UPTAKE PROTEIN - Staphylococcus xylosus."	"2.A.7.5.1"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O07881|2.A.7.5.1 GLUCOSE UPTAKE PROTEIN - Staphylococcus xylosus."
"gnl|TC-DB|O14745|8.A.24.1.1"	"Ezrin-radixin-moesin-binding phosphoprotein 50 (EBP50) (Na(+)/H(+) exchange regulatory cofactor NHE-RF) (NHERF-1) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform 3 regulatory factor 1)"	"8.A.24.1.1"	"EX_h2(e)"	"Hydrogen"	"gnl|TC-DB|O14745|8.A.24.1.1 Ezrin-radixin-moesin-binding phosphoprotein 50 (EBP50) (Na(+)/H(+) exchange regulatory cofactor NHE-RF) (NHERF-1) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform 3 regulatory factor 1)"
"gnl|TC-DB|O25788|2.A.1.7.7"	"Putative glucose/galactose transporter"	"2.A.1.7.7"	"EX_gal(e);EX_glc(e)"	"galactose;glucose"	"gnl|TC-DB|O25788|2.A.1.7.7 Putative glucose/galactose transporter OS=Helicobacter pylori GN=gluP PE=3 SV=1"
"gnl|TC-DB|O28846|1.A.8.13.1"	"GLYCEROL UPTAKE FACILITATOR, MIP CHANNEL (GLPF) - Archaeoglobus fulgidus."	"1.A.8.13.1"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|O28846|1.A.8.13.1 GLYCEROL UPTAKE FACILITATOR, MIP CHANNEL (GLPF) - Archaeoglobus fulgidus."
"gnl|TC-DB|O29097|3.A.1.26.8"	"Ribose ABC transporter, ATP-binding protein (RbsA-2)"	"3.A.1.26.8"	"EX_rib_D(e)"	"Ribose"	"gnl|TC-DB|O29097|3.A.1.26.8 Ribose ABC transporter, ATP-binding protein (RbsA-2) OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=AF_1170 PE=4 SV=1"
"gnl|TC-DB|O30832|3.A.1.1.5"	"SORBITOL/MANNITOL TRANSPORT INNER MEMBRANE PROTEIN - Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)."	"3.A.1.1.5"	"EX_mnl(e)"	"mannitol"	"gnl|TC-DB|O30832|3.A.1.1.5 SORBITOL/MANNITOL TRANSPORT INNER MEMBRANE PROTEIN - Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)."
"gnl|TC-DB|O30833|3.A.1.1.5"	"SORBITOL/MANNITOL TRANSPORT INNER MEMBRANE PROTEIN - Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)."	"3.A.1.1.5"	"EX_mnl(e)"	"mannitol"	"gnl|TC-DB|O30833|3.A.1.1.5 SORBITOL/MANNITOL TRANSPORT INNER MEMBRANE PROTEIN - Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)."
"gnl|TC-DB|O31645|4.A.2.1.6"	"Phosphotransferase system (PTS) mannose-specific enzyme IIBCA component - Bacillus subtilis."	"4.A.2.1.6"	"EX_man(e)"	"mannose"	"gnl|TC-DB|O31645|4.A.2.1.6 Phosphotransferase system (PTS) mannose-specific enzyme IIBCA component - Bacillus subtilis."
"gnl|TC-DB|O43826|2.A.1.4.5"	"Glucose 6-phosphate translocase (Glucose 5-phosphate transporter) (PRO0685) - Homo sapiens (Human)."	"2.A.1.4.5"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O43826|2.A.1.4.5 Glucose 6-phosphate translocase (Glucose 5-phosphate transporter) (PRO0685) - Homo sapiens (Human)."
"gnl|TC-DB|O50980|4.A.3.2.3"	"PTS system, cellobiose-specific IIC component (CELB) - Borrelia burgdorferi (Lyme disease spirochete)."	"4.A.3.2.3"	"EX_cellb(e)"	"cellobiose"	"gnl|TC-DB|O50980|4.A.3.2.3 PTS system, cellobiose-specific IIC component (CELB) - Borrelia burgdorferi (Lyme disease spirochete)."
"gnl|TC-DB|O50981|4.A.3.2.3"	"PTS system, cellobiose-specific IIA component (CELC) - Borrelia burgdorferi (Lyme disease spirochete)."	"4.A.3.2.3"	"EX_cellb(e)"	"cellobiose"	"gnl|TC-DB|O50981|4.A.3.2.3 PTS system, cellobiose-specific IIA component (CELC) - Borrelia burgdorferi (Lyme disease spirochete)."
"gnl|TC-DB|O50982|4.A.3.2.3"	"PTS system, cellobiose-specific IIB component (CELA) - Borrelia burgdorferi (Lyme disease spirochete)."	"4.A.3.2.3"	"EX_cellb(e)"	"cellobiose"	"gnl|TC-DB|O50982|4.A.3.2.3 PTS system, cellobiose-specific IIB component (CELA) - Borrelia burgdorferi (Lyme disease spirochete)."
"gnl|TC-DB|O51923|3.A.1.1.7"	"TREHALOSE/MALTOSE BINDING PROTEIN - Thermococcus litoralis, and Pyrococcus furiosus."	"3.A.1.1.7"	"EX_malt(e);EX_tre(e)"	"Maltose;trehalose"	"gnl|TC-DB|O51923|3.A.1.1.7 TREHALOSE/MALTOSE BINDING PROTEIN - Thermococcus litoralis, and Pyrococcus furiosus."
"gnl|TC-DB|O51925|3.A.1.1.7"	"INNER MEMBRANE PROTEIN MALG (TREHALOSE/MALTOSE TRANSPORT INNER MEMBRANE PROTEIN) - Thermococcus litoralis, and Pyrococcus furiosus."	"3.A.1.1.7"	"EX_malt(e);EX_tre(e)"	"Maltose;trehalose"	"gnl|TC-DB|O51925|3.A.1.1.7 INNER MEMBRANE PROTEIN MALG (TREHALOSE/MALTOSE TRANSPORT INNER MEMBRANE PROTEIN) - Thermococcus litoralis, and Pyrococcus furiosus."
"gnl|TC-DB|O52733|2.A.1.1.41"	"D-xylose-proton symporter - Lactobacillus brevis."	"2.A.1.1.41"	"EX_xyl_D(e)"	"Xylose"	"gnl|TC-DB|O52733|2.A.1.1.41 D-xylose-proton symporter - Lactobacillus brevis."
"gnl|TC-DB|O61059|2.A.1.1.77"	"Glucose transporter"	"2.A.1.1.77"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O61059|2.A.1.1.77 Glucose transporter OS=Leishmania mexicana GN=LmGT2 PE=3 SV=2"
"gnl|TC-DB|O61060|2.A.1.1.78"	"Glucose transporter"	"2.A.1.1.78"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O61060|2.A.1.1.78 Glucose transporter OS=Leishmania mexicana GN=LmGT3 PE=3 SV=2"
"gnl|TC-DB|O74849|2.A.1.1.22"	"High-affinity fructose transporter ght6 (Hexose transporter 6) - Schizosaccharomyces pombe (Fission yeast)."	"2.A.1.1.22"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|O74849|2.A.1.1.22 High-affinity fructose transporter ght6 (Hexose transporter 6) - Schizosaccharomyces pombe (Fission yeast)."
"gnl|TC-DB|O74969|2.A.1.1.21"	"High-affinity glucose transporter ght2 (Hexose transporter 2) - Schizosaccharomyces pombe (Fission yeast)."	"2.A.1.1.21"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O74969|2.A.1.1.21 High-affinity glucose transporter ght2 (Hexose transporter 2) - Schizosaccharomyces pombe (Fission yeast)."
"gnl|TC-DB|O76486|2.A.1.1.76"	"Glucose transporter"	"2.A.1.1.76"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O76486|2.A.1.1.76 Glucose transporter OS=Leishmania mexicana GN=GT1 PE=3 SV=1"
"gnl|TC-DB|O80605|2.A.2.4.3"	"Sucrose transport protein SUC3 - Arabidopsis thaliana (Mouse-ear cress)."	"2.A.2.4.3"	"EX_sucr(e)"	"Sucrose"	"gnl|TC-DB|O80605|2.A.2.4.3 Sucrose transport protein SUC3 - Arabidopsis thaliana (Mouse-ear cress)."
"gnl|TC-DB|O81514|2.A.7.9.19"	"Glucose-6-phosphate/phosphate-translocator-like protein 1"	"2.A.7.9.19"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O81514|2.A.7.9.19 Glucose-6-phosphate/phosphate-translocator-like protein 1 OS=Arabidopsis thaliana GN=At4g03950 PE=2 SV=2"
"gnl|TC-DB|O83341|3.A.1.2.10"	"Ribose/galactose ABC transporter, ATP-binding protein (RbsA-2) - Treponema pallidum."	"3.A.1.2.10"	"EX_rib_D(e);EX_gal(e)"	"Ribose;galactose"	"gnl|TC-DB|O83341|3.A.1.2.10 Ribose/galactose ABC transporter, ATP-binding protein (RbsA-2) - Treponema pallidum."
"gnl|TC-DB|O83342|3.A.1.2.10"	"Ribose/galactose ABC transporter, permease protein (RbsC-1) - Treponema pallidum."	"3.A.1.2.10"	"EX_rib_D(e);EX_gal(e)"	"Ribose;galactose"	"gnl|TC-DB|O83342|3.A.1.2.10 Ribose/galactose ABC transporter, permease protein (RbsC-1) - Treponema pallidum."
"gnl|TC-DB|O83343|3.A.1.2.10"	"Ribose/galactose ABC transporter, permease protein (RbsC-2) - Treponema pallidum."	"3.A.1.2.10"	"EX_rib_D(e);EX_gal(e)"	"Ribose;galactose"	"gnl|TC-DB|O83343|3.A.1.2.10 Ribose/galactose ABC transporter, permease protein (RbsC-2) - Treponema pallidum."
"gnl|TC-DB|O95528|2.A.1.1.59"	"Solute carrier family 2, facilitated glucose transporter member 10 - Homo sapiens (Human)."	"2.A.1.1.59"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|O95528|2.A.1.1.59 Solute carrier family 2, facilitated glucose transporter member 10 - Homo sapiens (Human)."
"gnl|TC-DB|P00550|4.A.2.1.2"	"PTS SYSTEM, MANNITOL-SPECIFIC IIABC COMPONENT (EIIABC-MTL) (MANNITOL- PERMEASE IIABC COMPONENT) (PHOSPHOTRANSFERASE ENZYME II, ABC COMPONENT)"	"4.A.2.1.2"	"EX_mnl(e)"	"mannitol"	"gnl|TC-DB|P00550|4.A.2.1.2 PTS SYSTEM, MANNITOL-SPECIFIC IIABC COMPONENT (EIIABC-MTL) (MANNITOL- PERMEASE IIABC COMPONENT) (PHOSPHOTRANSFERASE ENZYME II, ABC COMPONENT) (EC 2.7.1.69) (EII-MTL) - Escherichia coli."
"gnl|TC-DB|P02916|3.A.1.1.1"	"Maltose transport system permease protein malF - Escherichia coli."	"3.A.1.1.1"	"EX_malt(e)"	"Maltose"	"gnl|TC-DB|P02916|3.A.1.1.1 Maltose transport system permease protein malF - Escherichia coli."
"gnl|TC-DB|P02920|2.A.1.5.1"	"Lactose permease (Lactose-proton symport) - Escherichia coli."	"2.A.1.5.1"	"EX_lcts(e)"	"lactose"	"gnl|TC-DB|P02920|2.A.1.5.1 Lactose permease (Lactose-proton symport) - Escherichia coli."
"gnl|TC-DB|P02924|3.A.1.2.2"	"L-arabinose-binding periplasmic protein precursor (ABP) - Escherichia coli."	"3.A.1.2.2"	"EX_arab_L(e)"	"L-Arabinose"	"gnl|TC-DB|P02924|3.A.1.2.2 L-arabinose-binding periplasmic protein precursor (ABP) - Escherichia coli."
"gnl|TC-DB|P02925|3.A.1.2.1"	"D-ribose-binding periplasmic protein precursor - Escherichia coli."	"3.A.1.2.1"	"EX_rib_D(e)"	"Ribose"	"gnl|TC-DB|P02925|3.A.1.2.1 D-ribose-binding periplasmic protein precursor - Escherichia coli."
"gnl|TC-DB|P02943|1.B.3.1.1"	"MALTOPORIN PRECURSOR (MALTOSE-INDUCIBLE PORIN) (LAMBDA RECEPTOR PROTEIN) - Escherichia coli."	"1.B.3.1.1"	"EX_malt(e)"	"Maltose"	"gnl|TC-DB|P02943|1.B.3.1.1 MALTOPORIN PRECURSOR (MALTOSE-INDUCIBLE PORIN) (LAMBDA RECEPTOR PROTEIN) - Escherichia coli."
"gnl|TC-DB|P04983|3.A.1.2.1"	"Ribose transport ATP-binding protein rbsA - Escherichia coli."	"3.A.1.2.1"	"EX_rib_D(e)"	"Ribose"	"gnl|TC-DB|P04983|3.A.1.2.1 Ribose transport ATP-binding protein rbsA - Escherichia coli."
"gnl|TC-DB|P05306|4.A.1.2.9"	"PTS system, sucrose-specific IIBC component (EIIBC-Scr) (Sucrose- permease IIBC component) (Phosphotransferase enzyme II, BC component)"	"4.A.1.2.9"	"EX_sucr(e)"	"Sucrose"	"gnl|TC-DB|P05306|4.A.1.2.9 PTS system, sucrose-specific IIBC component (EIIBC-Scr) (Sucrose- permease IIBC component) (Phosphotransferase enzyme II, BC component) (EC 2.7.1.69) (EII-Scr) - Bacillus subtilis."
"gnl|TC-DB|P07658|3.D.1.9.2"	"Formate dehydrogenase H"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P07658|3.D.1.9.2 Formate dehydrogenase H OS=Escherichia coli (strain K12) GN=fdhF PE=1 SV=2"
"gnl|TC-DB|P07921|2.A.1.1.9"	"Lactose permease - Kluyveromyces lactis (Yeast)."	"2.A.1.1.9"	"EX_lcts(e)"	"lactose"	"gnl|TC-DB|P07921|2.A.1.1.9 Lactose permease - Kluyveromyces lactis (Yeast)."
"gnl|TC-DB|P08194|2.A.1.4.3"	"Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease) - Escherichia coli."	"2.A.1.4.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|P08194|2.A.1.4.3 Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease) - Escherichia coli."
"gnl|TC-DB|P08470|4.A.1.2.1"	"PTS system, sucrose-specific IIBC component (EIIBC-SCR) (Sucrose- permease IIBC component) (Phosphotransferase enzyme II, BC component)"	"4.A.1.2.1"	"EX_sucr(e)"	"Sucrose"	"gnl|TC-DB|P08470|4.A.1.2.1 PTS system, sucrose-specific IIBC component (EIIBC-SCR) (Sucrose- permease IIBC component) (Phosphotransferase enzyme II, BC component) (EC 2.7.1.69) (EII-SCR) - Salmonella typhimurium."
"gnl|TC-DB|P0A0D6|4.A.3.1.1"	"Lactose-specific phosphotransferase enzyme IIA component - Staphylococcus aureus."	"4.A.3.1.1"	"EX_lcts(e)"	"lactose"	"gnl|TC-DB|P0A0D6|4.A.3.1.1 Lactose-specific phosphotransferase enzyme IIA component - Staphylococcus aureus."
"gnl|TC-DB|P0A2G3|2.A.1.6.7"	"Citrate-proton symporter - Salmonella typhimurium."	"2.A.1.6.7"	"EX_cit(e)"	"citrate"	"gnl|TC-DB|P0A2G3|2.A.1.6.7 Citrate-proton symporter - Salmonella typhimurium."
"gnl|TC-DB|P0AAG8|3.A.1.2.3"	"Galactose/methyl galactoside import ATP-binding protein mglA - Escherichia coli."	"3.A.1.2.3"	"EX_gal(e)"	"galactose"	"gnl|TC-DB|P0AAG8|3.A.1.2.3 Galactose/methyl galactoside import ATP-binding protein mglA - Escherichia coli."
"gnl|TC-DB|P0AAJ3|5.A.3.2.1"	"Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit - Escherichia coli."	"5.A.3.2.1"	"EX_for(e)"	"formate"	"gnl|TC-DB|P0AAJ3|5.A.3.2.1 Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit - Escherichia coli."
"gnl|TC-DB|P0AAK3|3.D.1.9.2"	"Formate hydrogenlyase subunit 2"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P0AAK3|3.D.1.9.2 Formate hydrogenlyase subunit 2 OS=Shigella flexneri GN=hycB PE=3 SV=1"
"gnl|TC-DB|P0AC23|1.A.16.1.1"	"Probable formate transporter 1 - Escherichia coli."	"1.A.16.1.1"	"EX_for(e)"	"formate"	"gnl|TC-DB|P0AC23|1.A.16.1.1 Probable formate transporter 1 - Escherichia coli."
"gnl|TC-DB|P0AC94|2.A.8.1.3"	"High-affinity gluconate transporter - Escherichia coli."	"2.A.8.1.3"	"EX_glcn(e)"	"Gluconate"	"gnl|TC-DB|P0AC94|2.A.8.1.3 High-affinity gluconate transporter - Escherichia coli."
"gnl|TC-DB|P0AC96|2.A.8.1.8"	"Low-affinity gluconate transporter"	"2.A.8.1.8"	"EX_glcn(e)"	"Gluconate"	"gnl|TC-DB|P0AC96|2.A.8.1.8 Low-affinity gluconate transporter OS=Escherichia coli (strain K12) GN=gntU PE=1 SV=1"
"gnl|TC-DB|P0AE26|3.A.1.2.2"	"L-arabinose transport system permease protein araH - Escherichia coli."	"3.A.1.2.2"	"EX_arab_L(e)"	"L-Arabinose"	"gnl|TC-DB|P0AE26|3.A.1.2.2 L-arabinose transport system permease protein araH - Escherichia coli."
"gnl|TC-DB|P0AE74|2.A.47.3.2"	"Citrate carrier - Escherichia coli."	"2.A.47.3.2"	"EX_cit(e)"	"citrate"	"gnl|TC-DB|P0AE74|2.A.47.3.2 Citrate carrier - Escherichia coli."
"gnl|TC-DB|P0AEE5|3.A.1.2.3"	"D-galactose-binding periplasmic protein - Escherichia coli."	"3.A.1.2.3"	"EX_gal(e)"	"D-Galactose"	"gnl|TC-DB|P0AEE5|3.A.1.2.3 D-galactose-binding periplasmic protein - Escherichia coli."
"gnl|TC-DB|P0AEK7|5.A.3.2.1"	"Formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit - Escherichia coli."	"5.A.3.2.1"	"EX_for(e)"	"formate"	"gnl|TC-DB|P0AEK7|5.A.3.2.1 Formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit - Escherichia coli."
"gnl|TC-DB|P0AEP1|2.A.1.1.1"	"Galactose-proton symporter - Escherichia coli."	"2.A.1.1.1"	"EX_gal(e)"	"galactose"	"gnl|TC-DB|P0AEP1|2.A.1.1.1 Galactose-proton symporter - Escherichia coli."
"gnl|TC-DB|P0AER0|1.A.8.1.1"	"Glycerol uptake facilitator protein - Escherichia coli."	"1.A.8.1.1"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|P0AER0|1.A.8.1.1 Glycerol uptake facilitator protein - Escherichia coli."
"gnl|TC-DB|P0AEX9|3.A.1.1.1"	"Maltose-binding periplasmic protein - Escherichia coli."	"3.A.1.1.1"	"EX_malt(e)"	"Maltose"	"gnl|TC-DB|P0AEX9|3.A.1.1.1 Maltose-binding periplasmic protein - Escherichia coli."
"gnl|TC-DB|P0AG80|3.A.1.1.3"	"sn-glycerol-3-phosphate-binding periplasmic protein ugpB - Escherichia coli."	"3.A.1.1.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|P0AG80|3.A.1.1.3 sn-glycerol-3-phosphate-binding periplasmic protein ugpB - Escherichia coli."
"gnl|TC-DB|P0AGF4|2.A.1.1.3"	"D-xylose-proton symporter - Escherichia coli."	"2.A.1.1.3"	"EX_xyl_D(e)"	"Xylose"	"gnl|TC-DB|P0AGF4|2.A.1.1.3 D-xylose-proton symporter - Escherichia coli."
"gnl|TC-DB|P0AGI1|3.A.1.2.1"	"Ribose transport system permease protein rbsC - Escherichia coli."	"3.A.1.2.1"	"EX_rib_D(e)"	"Ribose"	"gnl|TC-DB|P0AGI1|3.A.1.2.1 Ribose transport system permease protein rbsC - Escherichia coli."
"gnl|TC-DB|P0AGI4|3.A.1.2.4"	"Xylose transport system permease protein xylH - Escherichia coli."	"3.A.1.2.4"	"EX_xyl_D(e)"	"Xylose"	"gnl|TC-DB|P0AGI4|3.A.1.2.4 Xylose transport system permease protein xylH - Escherichia coli."
"gnl|TC-DB|P0C105|2.A.1.7.2"	"Glucose/galactose transporter - Brucella abortus."	"2.A.1.7.2"	"EX_gal(e);EX_glc(e)"	"galactose;glucose"	"gnl|TC-DB|P0C105|2.A.1.7.2 Glucose/galactose transporter - Brucella abortus."
"gnl|TC-DB|P0CS02|2.A.7.13.6"	"GDP-mannose transporter 1"	"2.A.7.13.6"	"EX_man(e)"	"mannose"	"gnl|TC-DB|P0CS02|2.A.7.13.6 GDP-mannose transporter 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) GN=GMT1 PE=2 SV=1"
"gnl|TC-DB|P0CS04|2.A.7.13.7"	"GDP-mannose transporter 2"	"2.A.7.13.7"	"EX_man(e)"	"mannose"	"gnl|TC-DB|P0CS04|2.A.7.13.7 GDP-mannose transporter 2 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) GN=GMT2 PE=2 SV=1"
"gnl|TC-DB|P10870|2.A.1.1.17"	"High-affinity glucose transporter SNF3"	"2.A.1.1.17"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P10870|2.A.1.1.17 High-affinity glucose transporter SNF3 OS=Saccharomyces cerevisiae GN=SNF3 PE=1 SV=3"
"gnl|TC-DB|P10905|3.A.1.1.3"	"SN-glycerol-3-phosphate transport system permease protein ugpA - Escherichia coli."	"3.A.1.1.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|P10905|3.A.1.1.3 SN-glycerol-3-phosphate transport system permease protein ugpA - Escherichia coli."
"gnl|TC-DB|P10906|3.A.1.1.3"	"SN-glycerol-3-phosphate transport system permease protein ugpE - Escherichia coli."	"3.A.1.1.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|P10906|3.A.1.1.3 SN-glycerol-3-phosphate transport system permease protein ugpE - Escherichia coli."
"gnl|TC-DB|P10907|3.A.1.1.3"	"SN-glycerol-3-phosphate transport ATP-binding protein ugpC - Escherichia coli."	"3.A.1.1.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|P10907|3.A.1.1.3 SN-glycerol-3-phosphate transport ATP-binding protein ugpC - Escherichia coli."
"gnl|TC-DB|P11162|4.A.3.1.1"	"PTS system, lactose-specific IIBC component (EIIBC-LAC) (Lactose- permease IIBC component) (Phosphotransferase enzyme II, BC component)"	"4.A.3.1.1"	"EX_lcts(e)"	"lactose"	"gnl|TC-DB|P11162|4.A.3.1.1 PTS system, lactose-specific IIBC component (EIIBC-LAC) (Lactose- permease IIBC component) (Phosphotransferase enzyme II, BC component) (EC 2.7.1.69) (EII-LAC) - Staphylococcus aureus."
"gnl|TC-DB|P11166|2.A.1.1.28"	"Solute carrier family 2, facilitated glucose transporter, member 1 (Glucose transporter type 1, erythrocyte/brain) (HepG2 glucose transporter) - Homo sapiens (Human)."	"2.A.1.1.28"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P11166|2.A.1.1.28 Solute carrier family 2, facilitated glucose transporter, member 1 (Glucose transporter type 1, erythrocyte/brain) (HepG2 glucose transporter) - Homo sapiens (Human)."
"gnl|TC-DB|P11168|2.A.1.1.29"	"Solute carrier family 2, facilitated glucose transporter, member 2 (Glucose transporter type 2, liver) - Homo sapiens (Human)."	"2.A.1.1.29"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P11168|2.A.1.1.29 Solute carrier family 2, facilitated glucose transporter, member 2 (Glucose transporter type 2, liver) - Homo sapiens (Human)."
"gnl|TC-DB|P11169|2.A.1.1.91"	"Solute carrier family 2, facilitated glucose transporter member 3"	"2.A.1.1.91"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P11169|2.A.1.1.91 Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens GN=SLC2A3 PE=1 SV=1"
"gnl|TC-DB|P11551|2.A.1.7.1"	"L-fucose permease - Escherichia coli."	"2.A.1.7.1"	"EX_fuc_L(e)"	"L-Fucose"	"gnl|TC-DB|P11551|2.A.1.7.1 L-fucose permease - Escherichia coli."
"gnl|TC-DB|P12012|2.A.8.1.1"	"GLUCONATE PERMEASE - Bacillus subtilis."	"2.A.8.1.1"	"EX_glcn(e)"	"Gluconate"	"gnl|TC-DB|P12012|2.A.8.1.1 GLUCONATE PERMEASE - Bacillus subtilis."
"gnl|TC-DB|P13181|2.A.1.1.6"	"Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast)."	"2.A.1.1.6"	"EX_gal(e)"	"galactose"	"gnl|TC-DB|P13181|2.A.1.1.6 Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast)."
"gnl|TC-DB|P13866|2.A.21.3.1"	"SODIUM/GLUCOSE COTRANSPORTER 1 (NA(+)/GLUCOSE COTRANSPORTER 1) (HIGH AFFINITY SODIUM-GLUCOSE COTRANSPORTER) - Homo sapiens (Human)."	"2.A.21.3.1"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P13866|2.A.21.3.1 SODIUM/GLUCOSE COTRANSPORTER 1 (NA(+)/GLUCOSE COTRANSPORTER 1) (HIGH AFFINITY SODIUM-GLUCOSE COTRANSPORTER) - Homo sapiens (Human)."
"gnl|TC-DB|P14672|2.A.1.1.80"	"Solute carrier family 2, facilitated glucose transporter member 4"	"2.A.1.1.80"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P14672|2.A.1.1.80 Solute carrier family 2, facilitated glucose transporter member 4 OS=Homo sapiens GN=SLC2A4 PE=1 SV=1"
"gnl|TC-DB|P15685|2.A.1.1.10"	"Maltose permease MAL6T (Maltose transport protein MAL6T) - Saccharomyces cerevisiae (Baker's yeast)."	"2.A.1.1.10"	"EX_malt(e)"	"Maltose"	"gnl|TC-DB|P15685|2.A.1.1.10 Maltose permease MAL6T (Maltose transport protein MAL6T) - Saccharomyces cerevisiae (Baker's yeast)."
"gnl|TC-DB|P15729|2.A.1.1.32"	"Glucose transport protein - Synechocystis sp. (strain PCC 6803)."	"2.A.1.1.32"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|P15729|2.A.1.1.32 Glucose transport protein - Synechocystis sp. (strain PCC 6803)."
"gnl|TC-DB|P16429|3.D.1.9.2"	"Formate hydrogenlyase subunit 3"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P16429|3.D.1.9.2 Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2"
"gnl|TC-DB|P16430|3.D.1.9.2"	"Formate hydrogenlyase subunit 4"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P16430|3.D.1.9.2 Formate hydrogenlyase subunit 4 OS=Escherichia coli (strain K12) GN=hycD PE=1 SV=1"
"gnl|TC-DB|P16431|3.D.1.9.2"	"Formate hydrogenlyase subunit 5"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P16431|3.D.1.9.2 Formate hydrogenlyase subunit 5 OS=Escherichia coli (strain K12) GN=hycE PE=1 SV=1"
"gnl|TC-DB|P16432|3.D.1.9.2"	"Formate hydrogenlyase subunit 6"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P16432|3.D.1.9.2 Formate hydrogenlyase subunit 6 OS=Escherichia coli (strain K12) GN=hycF PE=4 SV=1"
"gnl|TC-DB|P16433|3.D.1.9.2"	"Formate hydrogenlyase subunit 7"	"3.D.1.9.2"	"EX_for(e)"	"formate"	"gnl|TC-DB|P16433|3.D.1.9.2 Formate hydrogenlyase subunit 7 OS=Escherichia coli (strain K12) GN=hycG PE=1 SV=2"
